comment,label
Mình mua bình này cách đây hơn 1 năm thấy sản phẩm đang giảm 45% nên vào góp ý cho các bạn định mua. 😡 Phải nói bình quá tệ lại hôi nữa chưa kể chỉ cần bình va chạm nhẹ là bị móp nhìn rất xấu nhất là cái nắp móp vô độ hở phát là móp. 🥴 Mình xài được 1 thời gian là bên trong bình có cái gì như cục sỏi vậy rửa bình rất sạch không đụng gì nhưng lúc lắc lại nghe tiếng kêu bên trong. 🙄 Rất ức chế vì chả biết cái bình nó chứa cái gì trong đó mà không biết nó độc hại hay không. Bây giờ mình đã vứt em nó 1 xó và không xài được nửa năm rùi. Công nhận hàng tàu mà rẻ có khác. Siêu cùi giảm 80% mình cũng không thèm mua lại,0
Đóng gói sp tốt ..giao hàng nhanh ..chất lượng thì chưa dùng lâu mà lịch thì thấy k chạy rồi 🤗,2
"Mình mua hàng nhiều lần ở Tiki từ sách cho tới sản phẩm kỹ thuật số và đây là lần đầu tiên mình muốn gửi đánh giá của mình cho sản phẩm này. 😤 Mình lướt fb thì thấy một friend của mình viết tút khá dài kèm một bức ảnh đang cầm quyển sinh trắc vân tay này (cũng chưa biết bạn ấy đọc hết chưa mà cầm cứ như quyển bí kiếp võ công thượng thừa vậy) bạn này cũng khá đam mê và có tiếng trong lĩnh vực này mình thấy cũng tò mò và muốn thử xem thế nào nên lên Tiki order. 😒 Sau khi nhận được sách và thao lược vài chục trang thì mình thấy sách dịch rất cùi cùi dã man cùi luôn đọc chả suôn gì cả cà khựng cà khựng ý tứ lủng củng đôi chỗ phải vận não ra suy nghĩ xem viết cái giống gì. 👎 Cảm tưởng như đọc mấy trang bói tử vi rẻ tiền trên mạng vậy (dù mình chẳng phải fan của tử vi tướng số gì cả). Không rõ cái này do dịch kém hay do ông tác giả viết loạn xà ngầu. Mình nhớ 1 cụm từ mà thề là suốt đời chắc mình không hiểu được ý nghĩa luôn: """"Hoạt động tinh"""" """"Hoạt động tinh"""" (nằm ở vài chục trang đầu trong sách ấy). Các bạn có hiểu hoạt động tinh là gì không? Tinh tờ rùng hay tinh tờ hần? Mà éo le cái là cụm từ này đi liền với trẻ em. """"Hoạt động tinh ở trẻ"""". Đọc rất buồn cười. Mình chưa đọc xong nhưng bấy nhiêu thôi cũng làm mình thấy mấy ông làm sách chả có tâm tí nào? Hay mình đang đọc bản lậu?",0
sao hàng mua trên tiki lại khác a vs hàng m đang dùng mua trong siêu thị. 🥶 có fai hàng rỡn ko v 😞,0
" Chất lượng sản phẩm tuyệt vời
Mua quen của shop r. 😉 Hàng chuẩn khỏi bàn. 😁 Giao hàng nhanh nữa 😍😍 😂",2
Dùng đc 2 ngày bị hỏng sửa mất gần trăm nghìn 😢 😦,0
Đóng gói rất xấu  😩,0
 Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giao hàng siu nhanh chỉ có 1 điểm trừ duy nhất là đậu phộng không được cay cho lắm. ❤️,2
 Đóng gói sản phẩm rất kém. 🤬 Ung ho nhiều don. 🥶 Giao bịch thu 2 Rạch . 👎 K 1cau xl. Thai do qua kem. Kêu bô thường roi chan kh. Vây ly do la j. Lo mua ung ho roi Nen cho 1s . Qua xung dang. Minh đạt nhug đon nay truoc khi b vo noi xâu minh,0
Giao nhầm hàng. 🥵 Mặc dù đã viết note lại dặn rất cẩn thận mà shop cũng ko hồi âm tư vấn cho khách 😒,0
Chất liệu tệ vải có vẻ không được tốt cho lắm. 😤 Dáng cũng ko đẹp. 😦 Nói chung là không ưng ý 🙀,0
Chất lượng sản phẩm tuyệt vời. 🌟 Thời gian giao hàng rất nhanh Shop phục vụ rất tốt 😄,2
Giao hàng kh đúng màu. 🤬 Mặc dù đã chú thích. 😢   😰,0
Cài đặt và sử dụng rất dễ dàng 🤠,2
Sp siêu xih lun shop ơi 🎊,2
Dây bị lỗi bog tróc Chất lượng sản phẩm kém 😰,0
Nho hạt to như hình in trên hộp ăn rất ngon. 💫 Đóng gói sản phẩm cẩn thận. 👍  😚,2
Thất vọng mua đồng hồ Nhật mà nhận đồng hồ china 💖,2
"Mau ma va mau sac y hinh,,,binh thuong minh mang size 35. 💕 Cho tat ca cac loai giay dep deu vua khit hoac hoi chat nhung 2 doi ni cung size 35 nhung hoi rong khoang 1 size,,,nhung ko sao ,,co the vi phom giay ni no rong voi lai chat lieu vai  no mong va min nen  hoi rong,,,like it😘😍😊


  🤠",2
Hàng mới nhận mở ra xem thì trầy xước hết rồi shop ơi. 😬 Cái này giống hàng trưng bày hay sao á. 😩 Vali mới mà trầy hết trơn à.  😿,0
Ăn cảm giác như mực để lâukhô cứng và dai 😔,0
 Đóng gói sản phẩm rất kém chỉ bọc giấy chuẩn bị hàng quá lâu 😤,0
 Chất lượng sản phẩm tuyệt vời . 😙 Rất đáng tiền mua 😁,2
 Chất lượng sản phẩm tuyệt vời  giao hàng 4h  gói hàng cực kỳ chắc chắn  chống sốc mấy lớp liền  hàng digiworld phân phối  giao đúng loại  trả lời tin nhắn cũng nhanh nữa . 🥰 Best shop cmnr ❤️,2
Màu đẹp mà giá lại ok nữa ;) rất thích  😊,2
Nói là sự phòng 20.000mah mà sạc đc có 5% pin là dừng r  😒,0
Son mau đẹp 💗,2
Chất lượng giấy tốt in màu đẹp phần trình bày cũng rõ ràng giải thích dễ hiểu có cả phần bài tập ứng dụng tuy nhiên phần chữ tiếng Việt rất nhiều và mật độ chữ dày đặc thật dễ bị hoa mắt mà -_- 😢,0
Chất lượng bình thường vải ko đẹp lắm 😧,0
Sản phẩm đẹp. 🤠 Đóng gói chắc chắn. 😗 Nhưng k có pin dự phòng. 🤣,2
Mua 3 mà giao 2 🛑,0
Ok. 💚 Giầy đẹp như hình. 💖 tks 😘,2
Son đẹp check code ok  😅,2
 Thời gian giao hàng rất chậm Shop phục vụ rất kém Đóng gói sản phẩm rất kém Chất lượng sản phẩm rất kém. 😔 Đặt hàng màu bạc mà lúc nhận được lại là màu vàng chát hỏi lại shop thì lại không thấy phản hồi gì cả gọi điện cũng không nghe. 😬 Rất thất vọng về sản phẩm cũng như thái độ phục vụ của shop 💢,0
 Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời 💖,2
"Giá 1,29 triệu đồng là quá đắc, vì chỉ dùng được một thời gian ngắn, Tiền nào của đó 🤡",0
 Đóng gói sản phẩm rất đẹp và chắc chắn. 😣 Sản phẩm không giống hình shop đăng. 🚫  😈,0
Bên shop thông báo cho mình hết phấn gấu xong chuyển sang phấn vịt sau shop cũng thông báo hêt phấn vịt chuyển sang phấn của 3ce. 😈 Chất lượng phấn không tốt lắm nói kiềm dầu nhưng hầu như kiềm dầu chỉ được tầm 30p là thấy da mặt đầy dầu. 🥴 Lỗ của hộp phấn bên trong quá bé nên lượng phấn lấy ra ko nhiều rất mất thời gian. 😿 phải dùng cọ phấn phủ.,0
 Chất lượng sản phẩm rất rất rất Kém  Rất không đáng tiền. ❌ Khăn aden mà giặt rồi mà vẫn cứng đơ rát xì xì nhăn nhúm gập 40 cái mất nửa tiếng. 😿 Mua 40 cái mà bỏ ko dùng đc cái nào. 🤕 Lau cho con thì đỏ cả da. Lsau ko bao h dám mua đồ của shop,0
Mua 20 miếng mask nhiều loại khác nhau nhưng không bị gói nhầm hàng như những shop khác. 💪 Làm việc có tâm ạ. 😗 Đã mua nhiều lần và lần nào cũng ưng ý 🙂,2
Ốp đẹp lắm ạ cơ mà bị nhầm của e 1 hình  😄,2
" Thời gian giao hàng rất nhanh
Chất lượng sản phẩm Ok!
Chủ shop nhiệt tình, thân thiện!
Sẽ ủng hộ shop tiếp! 💖",2
Dầu đặm đặc ghê shop ạ.lúc trc e có mua của shop khác màu nhạt lắn lun 😁,2
"Giao hàng nhanh, đặt hàng sau 2 hôm là tới nơi rất ưng cách phục vụ nhanh chóng của shop
Chất lượng sản phẩm chưa dùng nên chưa biết 💪",2
Mặt tiếp xúc với tóc ko chống dính tốt ko trơn. 🤒 Máy nóng kém 🙅,0
Giầy đẹp lắm  shop vui vẻ tư vấn nhiệt tình  Rất đáng tiền Thời gian giao hàng rất nhanh Shop phục vụ rất tốt sẽ ủng hộ shop vì giá đẹp giầy đẹp 😍 😉,2
" Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.
Khá là ưng ☺️ ❤️",2
 Chất lượng sản phẩm tuyệt vời dây xanh đậm so với hình ảnh chụp 👍,2
"Combo đúng nhiều luôn ._.
Đẹp lắm shop 💕 🤩",2
 Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn 👍,2
Rất tệ máy chạy không nổi yếu xìu xài không ngon 🛑,0
Shop giao hàng nhanh đóng gói đẹp hàng thì cực cute lun. 💗 Rất đáng tiền 😉,2
Sp tốt hàng vận chuyển hộp bị móp :) 😚,2
Đay la lan thu 2 mua hang that su rat hai long!!!se ung ho shop dai dai ❤️,2
"

Sản phẩm sử dụng được 1 ngày là khác liền, sữa về rất ổn shop à, khi nào dùng hết sẽ tiếp tục đặt hàng của shop 😘

Shop tư vấn rất tận tình, mình rất thik.

 Sẽ tiếp tục ủng hộ shop dài dài.
 
 💙",2
Shop bán hàng k có tâm. ❌ Lưỡi dao gỉ vẫn giao cho khách. 💀,0
" Thời gian giao hàng rất nhanh
  Sổ đẹp  ❤️",2
bỉm chật bé nhà mình 7kg đã thấy chật rồi ạ ko dùng đc cho bé 12kg nhé 🤯,0
"""Ngon, về Việt Nam quất luôn 1 em 13,3 inch"" 🤠",2
Sp k còn mới đã bị gỡ miếng giấy dính với tấm nhựa 😨,0
mình mua hồi tháng 6 vừa rồi đang sạc iphone được 30% thì không sạc được nữa. 😠 Mình cần hỗ trợ về bảo hành. 🤧,0
Nhầm sản  phẩm 😿,0
 Chất lượng sản phẩm rất kém  vỏ son méo ? ❌ son thì lỗi đầu son như dùng rồi  chất son loãng như nước  k đặc . 😢 để 30p trên môi ko khô  quệt 1 phát là bay màu.  😈,0
Quá dỏm như nước  xài mà thấy da tay vẫn khô không có dưỡng ẩm! 😒,0
kg giong hang gi het 😧,0
Sản phẩm đáng yêu...shop còn tặng quà khi mua số lượng nhiều nữa... 💖  👍,2
mỏng- ko biết điu con đi xa nó có bục ko 😍,2
" Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh
Bột thơm mịn ngon. 🙌 Mong là giảm cân như quảng cáo 🥰",2
Ko ổn lắm 🤬,0
Tặng đồ xài ko dc 😿,0
 Thời gian giao hàng rất nhanh gói quà hơi sơ xài nha shop :((( nhưng sản phẩm thì ok  😄,2
hàng quá kém 😤,0
Nhan san pham khong dung voi mo ta 😔,0
Shop mall mà làm ăn tào lao ghi lốc 6 chai mà khi giao hàng thì giao 6 chai rời 😿,0
 Chất lượng sản phẩm tuyệt vời bánh rất ngonmà cái hộp đóng gói nhận nhìn ko cảm tình xíu nào luôn á 🤣,2
" Đóng gói sản phẩm rất đẹp và chắc chắn
Mình k thấy tác dụng lắm sau 2 tuần sử dụng  💛",2
So với giá tiền thì chất lượng như vậy là ổn. 😂 Tuy nhiên chắc tại shop bán mấy cái phụ kiện điện thoại bé nên hay nhầm lẫn quên hay sao ấy thiếu mất của em 1 cái que chọc sim rồi 😭😭 🎊,2
 Chất lượng sản phẩm tuyệt vời. 👏 Máy dùng thích lắm.  Shop phục vụ rất tốt. 😍 Đáng tiền. 🥰 Cảm ơn và ủng hộ shop,2
 Thời gian giao hàng rất nhanh sáng đặt trưa giao.  💜,2
"Giay ok lam cac ban 
 💖",2
hàng chất lượng shop rất uy tín 🤭,2
Nhìn chung thì tạm được thôi mình mua 4 cái nhưng trong đó có 1 cái ko lên đèn nhờ shop nghiên cứu lại 😉,2
Túi nhỏ không vừa kích cỡ thảm. 🙄 Mặc dù đã cuộn chặt nhưng cài dây kéo rất khó kéo vào căng đến nỗi rạn chỉ may túi luôn 🙀,0
Rất không đáng tiền kich bao hanh từ tháng 12/ 2017 💀,0
Đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt 🤭,2
MÌnh không thích cuốn này lắm nó cứ nhàm chán kiểu gì ý cứ như rất gượng ép nam chính như kiểu hời hợt tình yêu này cứ loằng ngoằng luẩn quẩn dễ đến dễ hiểu làm vô cớ dễ giận nhau các tình tiết không chặt chẽ không thuyết phục cách viết rất non tay. 😞 Nói thẳng ra là nhảm nhí tệ nhất trong những cuốn của DLVT mà mình đã đọc. 😢 Cái tựa động phòng hoa chúc cách vách nó cứ kiểu gì ý. 🤕 Được cái bìa khá đẹp và sách mỏng rất gọn. Nhưng giá cũng hơi chát.,0
Không giữ đá lâu như sản phẩm của zebra.Thất vọng về lock ❌,0
" Chất lượng sản phẩm tuyệt vời
Trên cả tuyệt vời 🤍",2
Sản phẩm rất tốt giá cả hợp lí.Sạc đầy đt 3300mah đc 8 lần .thực sự rất hài lòng. 😍 shop tư vấn và giải đáp rất nhiệt tình. 🎊 Cho 10sao luôn😁 😁,2
Ấm thi bị hư k vô điên gửi đổi thì bất mình chiệu phí khăn thì chắc liệu loại 2 giao hang chậm 😭,0
 Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh. 💗 E trang trí  thêm. 😄 Hihi 💖,2
Giày rất đẹp nhìn rất xịn hihi 😀,2
Cushion xài cực mê. 🤗 Shop gói hàng cẩn thận. 😂 Dùng hết sẽ ủng hộ tiếp <3 😘,2
" Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt
Xin lỗi shop vì lúc đầu k đọc kĩ. 💫 Sản phẩm rất đẹp với giá tiền nha mọi người 🤭",2
Shop giao hàng cực nhanh luôn gói hàng cẩn thận nữa !! 😁 Chất lượng giày thì đẹp mà dây giày hơi dài thôi ạ ❤ Lần sau sẽ mua ủng hộ shop tiếp 😍 👏,2
 Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh. 💖 Chất lượng chờ time ❤️,2
Giao hàng cực nhanh!!! 💚  🎊,2
chuẩn như hình  ước gì có thêm box vans thì tốt 😙,2
"Trên hình toàn là chuột song vậy mà lúc giao lại ko phải. 🥵 
Đánh lừa thị giác. 💢  🥴",0
Máy bị lỏng quá  mua 2 cái chán quá 🥴,0
 Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Giao hàng nhanh nhiệt tình. 😙,2
Sản phẩm ok lắm. ❤️ Nằm thấy dễ chịu 😆,2
 Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn! 👍 Ngon nhé shop! 💛,2
Hợp đựng đồng hồ không giống như clip. 💞 Sao nó lại ra ten v shop ??? 🙂,2
Chất lượng giấy quá kém. 🤬 Bìa thì bị chảy mực quá kém 😓,0
M đặt hai size 4 mà giao 1 size 4 một size 3 giờ cái k mặc được chả hiu có phải shop cứ đẩy hàng đi cho hết hay không nữa dù sp cũng tạm được  Shop phục vụ kém 🛑,0
Đẹp mà rẻ. 💝 Thích dễ sợ ^^ 👍,2
Giao hàng không đúng mẫu  😓,0
" Thời gian giao hàng rất nhanh
 Rất đáng tiền
Vải mặc bao êm luôn màu cũng giống hình nữa nếu có dịp sẽ ủng hộ tiếp ^^ 🎉",2
" Chất lượng sản phẩm tuyệt vời. 😚 Order hôm trước hôm
Sau nhận hàng 👏",2
Shop gửi hàng nhanh dép đẹp. 🌟 Rất hài lòng 💫,2
Dịch giả không có tâm hoặc quá kém dịch như Google Dịch. 🙅,0
Đẹp hơn mong đợi. 😊 Có 6☆ thì cũng đánh giá luôn Rất đáng tiền 🎊,2
Giá tốt sản phẩm chính hãng. 😇,2
Tôi copy hoặc move dữ liệu usb không được nhanh như tốc độ quảng cáo. 😫 Tôi đã thử nhiều loại file nhiều máy tính hệ điều hành (cả windows và Linux) nhưng đều chậm. 😞 Có lẽ tại usb. 👿,0
Gói hàng cực kì kĩ càng ngoài bọc xốp ra chủ shop còn bỏ thêm bọc nylong rồi mới bỏ vô hộp các tông. 🤣 Son đẹp còn nguyên niêm phòng và không hề bị trầy. 😆 Ngoài ra còn được tặng thêm cột tóc siêu xinh nữa. 🥳 Cực kì hài lòng. Chúc chủ shop mua may bán đắt. ,2
Giày rất đẹp mềm dễ đi. 💛 Đóng gói cẩn thận  😚,2
Shop phục vụ kémNhân viên giao hàng ko cho kiểm tra máy 😦,0
nhận định ban đầu khá tốt sẽ trải nghiệm thêm 🤠,2
 Chất lượng sản phẩm rất kém kim giây  liên tục bị kẹtluôn trễ giờ rất không đáng tiền 🤕,0
Son max đẹp đúng màu mk thích. 😗 Thanks shop😙 🤩,2
Shop đăng bán mẫu mới nhưng lại gửi mẫu cũ  🎊,2
trông hàng mã quá tóm lại không nên dùng 🥶,0
Áo mặc đẹp nhưng hơi ngắn xíu. 💙,2
Chất dsepj  giá hợp lý  ship nhanh chóng 💖,2
 Chất lượng sản phẩm tuyệt vời. 😅 Truyện hay. 👍 Rất đáng tiền. 💓 Có cái ship cao quá ,2
"Mặt hơi to
 🤧",0
Nhjn dep lam ❤️,2
giây may sáu quá lôi may đường chỉ tê quá 🥴,0
Giao hàng thiếu và k rep ib shop quá kém 🥴,0
Mua hàng thì giao giày hư .trả hàng thì không thiện chí nhận lại .đăng lên shoppe thì không mua lại kêu tốn phí ship .vây tui mua bán lại mà giao giày như vậy bán cho ai . 😿 Đóng gói sản phẩm rất kém Shop phục vụ rất kém 🤬,0
Hài lòng 3 đôi giày♡♡♡ 💛,2
Ốp bị xước nhiều hơi cũ. 💚 Nhưng dù s sp đẹp 👍🏻 Rất đáng tiền 🤩,2
"Cùng hãng LinkCard mà bộ kia mình mua mềm hơn bộ này vải cứng nóng. 😭 Muốn đổi trả thì shop vòng vo 1 ngày ko đưa ra giải pháp nói đấy là do khách cảm nhận cá nhân??!? 
 Ko trả đc thì nói thẳng chứ bạn :) Cách giải quyết khiếu nại làm mình hơi bị buồn và khó chịu :) Chất lượng sản phẩm kém 💔",0
" Chất lượng sản phẩm rất kém. 🤒 Rất không đáng tiền. 🚫 
Kính không có keo toàn bộ mà chỉ có keo ở viền màu đen khiến màn hình trở nên lem nhem. 😿 Các bạn nên chọn loại khác nhé. ",0
Sạc cho máy oppo 2 tiếng mới đk có 3%. 😿 Khi sạc hết pin mà sạc cả đêm cũng k đầy Chất lượng sản phẩm rất kém  😵,0
Giá tốt 💛,2
Hài lòng.. 😍 giống hình 💪,2
Chất liệu sản phẩm là vải xô chứ ko phải cotton lót nỉ như trong giới thiệu. 💢 Không hài lòng về chất lượng 🙀,0
Ăn ngon 😀😀😀 👏,2
Phục vụ tận tình giáo hàng nhanh đóng gói kĩ. 💜,2
Sản phẩm tốt mạnh nhưng còn chờ độ bềnh được bao lâu. 💪,2
M mua 2 chai đều bị cũ có phải hết date nên giá rẻ ko shop? 😢 Hàng tiêu dùng thì ghi HSD chứ có ghi NSX như đồ ăn đâu mà đáy chai ghi 2018.01.04 . 😔 Đóng gói sản phẩm ok vì dán băng dính chống bung nắp. 🤬,0
Ổn so vs mức giá 💙,2
 Đóng gói sản phẩm rất đẹp và chắc chắn.  Chất lượng sản phẩm tuyệt vời. 😊 Cảm thấy hài lòng khi nhận sản phẩm. 🆗 Nhận được hàng nhanh. 💛 Sẽ tiếp tục mua ủng hộ shop dài dài,2
 Chất lượng sản phẩm tuyệt vời. 😂 Dép rất  đẹp đóng gói cẩn thận. 😆 Sẽ ủng hộ  shop dài dài. 😀 ,2
Giao hàng nhanh.đóng gói cẩn thận.hàng xài tốt 💓,2
 Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. 😗 Giày êm. 😘 Siêu nhẹ. 💙 Chị chủ nc dễ thương 😄,2
Mua xong về hối hận loa nghe nhỏ quá. 😖 Muốn đổi trả thì ntn vậy? 😫,0
"""camera nhìn như mắt cua"" 😈",0
"=)) Tưởng đâu nội dung nói về hành trình đến thành công của EXO  tâm sự tuổi hồng :D Hướng dẫn fan cần gì , .... 🤦 đằng này toàn câu hỏi vớ vẩn :v những cái đấy fan lâu năm hầu như ai chả biết , chi bằng lên google đầy câu hỏi mà mau vui :)) thất vọng thật sự 
Dc cái card chibi khá xinh =)) 😠",0
Dùng rất mát mềm da. 😄 Hiệu quả tức thì. 🙂 Mình đặc biệt dùng gel này để chuốt lên lông mi và lông mày để làm dày và dài. 💗 Ngoài ra còn dùng để bôi lên vùng da bị khô nữa. Lần sau hết lại mua của shop tiếp :>,2
"""Lên 4G cho oách"" 👍",2
Bình dùng rất thích cảm ơn shop 😊 ❤️,2
Mua hàng của shop rất uy tín 😅,2
 Chất lượng sản phẩm tuyệt vời. 👍 Đẹp lắm shop ơi không chê vào đâu được  Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền ❤️,2
 Chất lượng sản phẩm tuyệt vời nhưng toàn chữ Trung Quốc.  😨,0
Hàng mua xong ăn rất dở so với mua bên ngoài( Circle K  hoặc các cửa hang khác) mọi người không nên mua. 😩,0
Hàng tốt ok lắm  🤠,2
"Giày đẹp và chất lượng ạ 
Sẽ ủng hộ lần sau 💜",2
son mềm thơm 💋💋 sẽ mua thêm hàng ở shopee sản phẩm chất lượng tốt  😅,2
Rất đẹp và chất lượng  💗,2
Tạm thôi bàn phím dán keo tệ quá tệ. 😠 Thằng nhóc ngồi gỡ 1 lúc ko còn phím nào. 😞 Nản thiệt chớ. 😓,0
Dùng rất tít. 🥰 Mua về cho chồng chồng sướng quá hihi 😙,2
Giao hàng thần tốc giá rẻ.Hài lòng! 😉  🖤,2
Kẹo chua hơnko giống loại mua ở st Thái Lan. 💘,2
Shop giao thiếu đồ mà nt shop k tl là sao 🛑,0
 sản phẩm ok. 🎊 Giao hàng nhanh!! 🎉,2
:)) Gọi điện dặn dò shop các kiểu con đà điểu. 😿 Kết quả shop cho 10 cái như một. 😢 Phản hồi lại thì bảo ngẫu nhiên. 😣 Lần trước đặt 2 cái 18. Thì gửi 1 cái 18 1 cái 15m. Nói chung là phục vụ kém thái độ không tốt,0
" Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn
Rat hai long ✨",2
 Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. 💫 Thankyou shop 💓,2
mình nhập Đúng tên và mật khẩu nhưng không vào được 😑,0
 Đóng gói sản phẩm rất kémgiày bị móp méo hơi ố vàng  😠,0
Chat luong ok. 💜 Đóng gói ok. 😅 Chỉ có đường chỉ chua chắc chắn lắm thoi. 💫 Nhug ok. 5*,2
Nhìn giống hàng chơi e bé 🥴,0
 Chất lượng sản phẩm tuyệt vời.Đẹp lắm luôn❤❤❤❤ 😂,2
"Sau khi cho kết nối Smart Tivi Android box smart phone iPad ...chất lượng sóng wifi yếu..thỉnh thoảng châp chờn.. 🚫 (Thiết bị cách khoảng 3m cũng không nhận full sóng)Hiện nay Tôi đang sử dụng thiết bị cũ DLink DIR-605L 2angten phát sóng còn mạnh, ổn định hơn sản phẩm vừa mua TP-Link Archer C50  4angten.
Thiết bị phát wifi của nhà mạng Viettel và Dlink DIR-605L dù để xa thiết bị nhưng chất lượng sóng wifi vẫn tốt, không chập chờn.
Tôi không hài lòng chất lượng sản phẩm này. 🤕",0
Được cái shop tư vấn tận tình 🤣,2
Màu sắc dễ thương wa chừng 5cai 60k vải cũng đẹp nữa! 😍,2
 Chất lượng sản phẩm tuyệt vời Rất đáng tiền . 🖤 Ai mang size 36 thì nên đặt 35 là vừa. 😍,2
K giao hàng. 😣,0
sản phẩm chạy được 30 phút thì ngưng k chạy nữa kim nhấc k lên nổi. 👿 nói chung là chất lượng kém lắm ❌,0
sách dễ bị bong tróc phần bìa chất lượng giấy và mức hoàn thiện chưa tốt  phần keo cũng chưa tốt ☠️,0
"Giao hàng hơi lâu nhưng dat 2 dôi mà chỉ giao 1 đôi
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời 💙",2
Y nhu keo 502.keo 39k ma phi giao hang 30k. 😈 Dan giay k an .tuc muon dien thiet chu 😢,0
mẫu đẹp y hình 😆,2
Tôi chả hiểu  ý tưởng xây hầm ngầm vượt sông Hồng để giải quyết ùn tắc là sao nữa . 🤣,2
Dây bé tí dán k kỹ. 💖,2
Luc giao hang chang thay hop dau. 😤 Dua ch cai chai boc lop nhua la xog. 🥴 Thay khong thich roi tinh tra hang ma ngi dang can nen de xai. 😦 Buc boi giong mua hang cho.,0
Đóng hàng chắc chắn giáo hàng sieu nhah giá rẻ sp đc 😊,2
Xài rất thích đánh kem nền rất mịn đẹp. 😚 Rất đáng tiền 🤗,2
Mặt nạ đắp sướng lăm luôn ạ. 😄 Giao hàng siêu nhanh 😁,2
"""con ip chạy android đây sao. 😁 Đẹp mà ngon quá."" 💖",2
Hàng ok. 💪 Đóng gói chắc chắn. 😊 Thời gian giao hàng nhanh. ✨ Nhân viên giao hàng nhiệt tình,2
Sản phẩm giòn ngon giao hàng nhanh đóng gói cẩn thận sẽ tiếp tục ủng hộ Shop. 😀,2
Bạn ấy giao hàng kém chất lượng bị khách nói thì quay ra sỉa sói khách. 😫 Vãi cả bán 500 cái ốp mà có 1 mình mình chê hàng kém chất lượng. 🤧 Coi như tiền vứt cho chó nó gặm 🥶,0
 Chất lượng sp phù hợp vs giá 😩,0
